# id,beta
629,7.02040
630,7.02040
631,7.02040
632,3.30517
633,7.02040
634,7.02040
635,3.95310
636,4.94585
637,4.94585
638,7.02040
639,7.02040
640,7.02040
641,1.90893
642,7.02040
643,7.02040
644,1.11181
645,3.30517
646,1.77165
647,1.04876
648,7.02040
649,3.95310
650,1.41294
651,7.02040
652,7.02040
653,2.60453
654,1.64740
655,7.12251
656,3.38337
657,7.12251
658,1.41057
659,1.41057
660,7.12251
661,3.38337
662,3.38337
663,7.12251
664,3.38337
665,2.33649
666,3.49499
667,2.19234
668,2.78979
669,1.28716
670,2.13856
671,1.13652
672,1.13652
673,2.33649
674,2.78979
675,2.01765
676,1.32729
677,2.33649
678,1.07236
679,7.12251
680,4.63610
681,4.63610
682,4.63610
683,4.63610
684,4.63610
685,2.25586
686,1.14739
687,1.76628
688,4.12447
689,2.45786
690,6.84642
691,4.12447
692,1.14841
693,3.64048
694,6.84642
695,1.89572
696,1.89572
697,6.84642
698,2.67054
699,6.84642
700,6.84642
701,6.84642
702,2.16114
703,6.84642
704,2.54053
705,2.54053
706,1.46974
707,2.64500
708,0.88527
709,1.69709
710,5.65719
711,2.26023
712,2.19896
713,6.76665
714,4.94710
715,4.17543
716,4.94710
717,4.88834
718,1.23715
719,1.23715
720,1.23715
721,1.58047
722,2.22449
723,2.22449
724,1.78079
725,1.58047
726,3.57790
727,1.70030
728,1.23715
729,1.78079
730,1.58047
731,1.58047
732,1.58047
733,1.23715
734,1.57045
735,1.23715
736,2.31432
737,4.48807
738,4.48807
739,1.63842
740,3.57790
741,4.48807
742,2.31432
743,7.52640
744,7.52640
745,5.04644
746,3.29868
747,1.94692
748,7.06499
749,2.07202
750,7.06499
751,4.05945
752,7.06499
753,3.97764
754,7.06499
755,4.05945
756,7.06499
757,7.06499
758,3.97764
759,7.06499
760,3.97764
761,7.06499
762,7.06499
763,3.97764
764,4.05945
765,2.87143
766,7.06499
767,7.06499
768,7.06499
769,7.06499
770,5.73012
771,7.38110
772,5.73012
773,5.73012
774,7.38110
775,3.29988
776,7.38110
777,7.38110
778,7.38110
779,7.38110
780,2.89781
781,7.38110
782,7.38110
783,2.86558
784,3.75433
785,3.06597
786,3.06597
787,0.93188
788,3.06597
789,2.26501
790,1.94553
791,0.96737
792,1.00856
793,1.70000
794,1.55022
795,0.93162
796,1.43864
797,1.43864
798,4.15526
799,1.30075
800,1.64003
801,1.26896
802,1.52979
803,6.68580
804,1.17894
805,6.82513
806,2.56609
807,2.21534
808,1.36299
809,6.82513
810,1.11306
811,2.21534
812,4.49399
813,0.98658
814,1.42826
815,4.25866
816,2.77085
817,6.82513
818,1.78038
819,2.99848
820,1.08790
821,2.41057
822,0.93698
823,1.66774
824,2.99848
825,0.95419
826,4.49399
827,2.99848
828,2.99848
829,2.99848
830,5.82838
831,0.87729
832,1.78707
833,1.56499
834,2.86406
835,1.61503
836,1.29241
837,2.22054
838,1.13725
839,1.42968
840,2.95191
841,0.98135
842,1.40781
843,2.05488
844,1.78707
845,0.98135
846,5.82838
847,3.58793
848,3.58793
849,2.55720
850,2.40000
851,1.05562
852,1.86143
853,2.54410
854,1.86143
855,1.86143
856,3.09803
857,1.53890
858,1.86143
859,2.40000
860,2.54410
861,1.49929
862,1.72910
863,2.42690
864,1.38606
865,1.38606
866,0.82381
867,0.82381
868,0.91944
869,1.34239
870,1.06826
871,6.12974
872,6.14440
873,6.14440
874,4.57803
875,1.77253
876,6.14440
877,4.81288
878,7.91083
879,7.91083
880,3.59155
881,7.91083
882,4.83890
883,4.83890
884,2.86057
885,1.48061
886,1.37124
887,1.64910
888,2.43240
889,1.27269
890,4.83890
891,1.90518
892,1.35281
893,2.38169
894,2.86057
895,1.91482
896,1.34056
897,1.52361
898,1.60664
899,2.46725
900,1.60664
901,1.31732
902,2.55200
903,1.17377
904,2.61515
905,2.96886
906,3.05738
907,3.05738
908,1.89772
909,5.95700
910,1.17377
911,3.05738
912,2.12998
913,1.89772
914,1.14325
915,3.05738
916,4.13304
917,1.70076
918,3.05738
919,1.28136
920,1.05011
921,1.05011
922,1.71774
923,0.98927
924,3.05738
925,4.13304
926,1.20503
927,1.71774
928,1.09594
929,1.71774
930,2.07613
931,1.05011
932,1.10904
933,1.58750
934,4.13304
935,1.00224
936,2.12998
937,0.99463
938,3.05738
939,1.42614
940,1.03118
941,1.92352
942,2.77414
943,2.77414
944,1.93986
945,1.16986
946,1.04696
947,1.92352
948,1.92352
949,2.77414
950,1.27426
951,1.57059
952,1.03523
953,1.02606
954,1.93986
955,2.03997
956,1.57059
957,1.16255
958,1.17982
959,1.10383
960,2.95288
961,1.17982
962,2.03916
963,2.68219
964,2.17566
965,1.06218
966,1.17982
967,1.17982
968,6.65089
969,1.06218
970,1.28391
971,3.15781
972,6.65089
973,3.15781
974,4.51911
975,2.90306
976,3.48015
977,2.68219
978,1.45181
979,1.06218
980,1.49335
981,1.90781
982,2.66215
983,3.12937
984,3.48015
985,1.90781
986,4.51911
987,3.48015
988,1.90781
989,1.90781
990,6.65089
991,1.90781
992,2.02682
993,6.65089
994,2.15167
995,1.90781
996,6.65089
997,1.58611
998,1.36624
999,2.20551
1000,7.52640
1001,1.94692
1002,2.12115
1003,7.52640
1004,4.48807
1005,4.48807
1006,1.57045
1007,7.52640
1008,7.52640
1009,5.04644
1010,4.50924
1011,6.39815
1012,6.39815
1013,6.39815
1014,6.39815
1015,5.60630
1016,4.50924
1017,4.50924
1018,6.39815
1019,6.39815
1020,6.39815
1021,6.39815
1022,6.39815
1023,6.39815
1024,6.39815
1025,6.39815
1026,6.39815
1027,6.39815
1028,6.39815
1029,6.39815
1030,6.39815
1031,6.35464
1032,5.09450
1033,5.09450
1034,5.09450
1035,5.07822
1036,2.98238
1037,6.35464
1038,4.06503
1039,5.09450
1040,5.09450
1041,6.35464
1042,6.35464
1043,6.35464
1044,5.09450
1045,1.09321
1046,1.74784
1047,2.47300
1048,2.47300
1049,1.41423
1050,1.09321
1051,6.75533
1052,1.41423
1053,1.41423
1054,3.03875
1055,1.03869
1056,3.03875
1057,2.47300
1058,2.47300
1059,4.09951
1060,2.47300
1061,1.03869
1062,2.40797
1063,2.47300
1064,2.93782
1065,1.09321
1066,2.93782
1067,4.24240
1068,1.74784
1069,6.75533
1070,4.09951
1071,1.03869
1072,3.15381
1073,1.11438
1074,3.15381
1075,3.15381
1076,3.15381
1077,3.15381
1078,4.24240
1079,2.47300
1080,4.24240
1081,2.47300
1082,1.74784
1083,3.15381
1084,1.03869
1085,1.03869
1086,4.24240
1087,4.97603
1088,4.97603
1089,4.97603
1090,4.97603
1091,4.97603
1092,4.51142
1093,2.44052
1094,4.97603
1095,4.97603
1096,1.47888
1097,4.97603
1098,4.97603
1099,4.97603
1100,4.97603
1101,4.97603
1102,4.97603
1103,4.51142
1104,0.96827
1105,2.00274
1106,1.95649
1107,2.00274
1108,4.51142
1109,2.59984
1110,1.85396
1111,1.95649
1112,4.97603
1113,4.97603
1114,2.36846
1115,4.97603
1116,4.97603
1117,4.97603
1118,4.97603
1119,4.97603
1120,2.44052
1121,2.44052
1122,2.36846
1123,5.25406
1124,1.39862
1125,1.13426
1126,5.25406
1127,5.91351
1128,1.79862
1129,3.92676
1130,2.50233
1131,1.39862
1132,3.70542
1133,5.25406
1134,3.92676
1135,3.70542
1136,3.92676
1137,3.92676
1138,3.92676
1139,3.70542
1140,3.92676
1141,5.25406
1142,5.25406
1143,3.92676
1144,5.25406
1145,2.50233
1146,3.92676
1147,2.50233
1148,2.11765
1149,5.91351
1150,2.11765
1151,5.25406
1152,5.91351
1153,5.25406
1154,5.25406
1155,5.25406
1156,1.79862
1157,5.25406
1158,2.50233
1159,1.18853
1160,1.79862
1161,1.18853
1162,1.66395
1163,1.63712
1164,1.90421
1165,1.03118
1166,1.03225
1167,1.18017
1168,2.77414
1169,1.02724
1170,4.15979
1171,5.08992
1172,4.15979
1173,1.16986
1174,2.56678
1175,3.23893
1176,1.04696
1177,5.08992
1178,1.85693
1179,1.92352
1180,2.65922
1181,1.16986
1182,4.15979
1183,2.77414
1184,2.56678
1185,4.97603
1186,4.97603
1187,1.02011
1188,2.43885
1189,2.37516
1190,4.07554
1191,2.43885
1192,4.07554
1193,2.43885
1194,2.43885
1195,5.37995
1196,5.37995
1197,4.07554
1198,2.61666
1199,5.37995
1200,5.37995
1201,1.10442
1202,1.32435
1203,1.88372
1204,1.02910
1205,2.37516
1206,4.19005
1207,3.72889
1208,3.72889
1209,3.72889
1210,3.72889
1211,3.72889
1212,3.72889
1213,3.72889
1214,4.22075
1215,3.72889
1216,3.70613
1217,5.63628
1218,5.63628
1219,1.98247
1220,3.72889
1221,7.26503
1222,4.19005
1223,5.63628
1224,1.03661
1225,5.63628
1226,3.72889
1227,3.72889
1228,3.70613
1229,4.19005
1230,3.72889
1231,3.72889
1232,2.10862
1233,3.72889
1234,3.72889
1235,3.72889
1236,1.98891
1237,3.72889
1238,3.72889
1239,3.72889
1240,2.12998
1241,1.14325
1242,1.89772
1243,5.09450
1244,6.35464
1245,2.98238
1246,6.35464
1247,6.35464
1248,2.76967
1249,5.74668
1250,5.09450
1251,6.35464
1252,2.67735
1253,2.67735
1254,1.08927
1255,1.49302
1256,2.67735
1257,2.19752
1258,5.09450
1259,1.88846
1260,2.19752
1261,1.18861
1262,2.87442
1263,1.53567
1264,1.45448
1265,1.45448
1266,1.15728
1267,4.96573
1268,2.84542
1269,4.96573
1270,4.96573
1271,2.59034
1272,1.63632
1273,2.59034
1274,0.90347
1275,4.96573
1276,4.96573
1277,2.10540
1278,4.96573
1279,0.79873
1280,4.96573
1281,1.98025
1282,1.98025
1283,1.63632
1284,2.59034
1285,1.72728
1286,2.84542
1287,1.98025
1288,2.59034
1289,4.96573
1290,2.84542
1291,2.84542
1292,2.84542
1293,0.83507
1294,2.84542
1295,2.84542
1296,2.84542
1297,4.96573
1298,0.81061
1299,2.59034
1300,1.72728
1301,2.84542
1302,4.96573
1303,4.96573
1304,2.84542
1305,1.72728
1306,4.96573
1307,2.84542
1308,1.10420
1309,2.26841
1310,2.28175
1311,2.90961
1312,5.53951
1313,5.53951
1314,1.54645
1315,1.68825
1316,1.68825
1317,1.26834
1318,5.53951
1319,3.35196
1320,2.58273
1321,5.53951
1322,2.90961
1323,1.83893
1324,1.63563
1325,5.53951
1326,5.53951
1327,1.63563
1328,5.53951
1329,5.53951
1330,1.39917
1331,1.46434
1332,0.86040
1333,2.31956
1334,2.31956
1335,2.31956
1336,2.31956
1337,2.31956
1338,1.78794
1339,1.78794
1340,1.78794
1341,1.12858
1342,1.78794
1343,2.31956
1344,2.31956
1345,2.31956
1346,2.31956
1347,2.31956
1348,2.31956
1349,2.31956
1350,2.31956
1351,0.76683
1352,2.31956
1353,0.82667
1354,1.14926
1355,0.77148
1356,2.31956
1357,2.31956
1358,0.77507
1359,4.06515
1360,2.31956
1361,5.06770
1362,4.06515
1363,2.31956
1364,2.31956
1365,2.33764
1366,5.79377
1367,2.82496
1368,2.33764
1369,2.33764
1370,2.33764
1371,1.79795
1372,1.25091
1373,5.79377
1374,0.88832
1375,3.63836
1376,3.63836
1377,1.98986
1378,2.33764
1379,0.92233
1380,1.75418
1381,0.90042
1382,1.25091
1383,5.79377
1384,2.82496
1385,1.25091
1386,0.90006
1387,2.90855
1388,0.90042
1389,0.92233
1390,3.63836
1391,2.05566
1392,2.05566
1393,2.39025
1394,5.79377
1395,0.95151
1396,1.79795
1397,2.69564
1398,2.05566
1399,0.88814
1400,2.90855
1401,2.31252
1402,5.79377
1403,2.33764
1404,2.33764
1405,3.63836
1406,1.98986
1407,6.35285
1408,1.61722
1409,3.64739
1410,1.95239
1411,1.95239
1412,5.13807
1413,6.35285
1414,1.02185
1415,1.95239
1416,1.22127
1417,6.35285
1418,6.35285
1419,2.89565
1420,1.95239
1421,1.88372
1422,6.35285
1423,6.35285
1424,6.35285
1425,6.35285
1426,6.35285
1427,5.13807
1428,1.98006
1429,1.32435
1430,3.36659
