# id,z0,z1
582,0.99993,0.00007
583,0.00030,0.99970
584,0.78551,0.21449
585,0.49228,0.50772
586,0.77440,0.22560
587,0.46619,0.53381
588,0.99886,0.00114
589,0.99886,0.00114
590,0.00006,0.99994
591,0.30814,0.69186
592,0.99886,0.00114
593,0.00030,0.99970
594,0.00000,1.00000
595,0.93578,0.06422
596,0.98775,0.01225
597,0.93172,0.06828
598,0.99978,0.00022
599,1.00000,0.00000
600,0.54642,0.45358
601,1.00000,0.00000
602,1.00000,0.00000
603,1.00000,0.00000
604,1.00000,0.00000
605,1.00000,0.00000
606,1.00000,0.00000
607,1.00000,0.00000
608,0.99999,0.00001
609,0.31371,0.68629
610,1.00000,0.00000
611,0.93731,0.06269
612,1.00000,0.00000
613,1.00000,0.00000
614,1.00000,0.00000
615,1.00000,0.00000
616,1.00000,0.00000
617,0.99695,0.00305
618,1.00000,0.00000
619,1.00000,0.00000
620,1.00000,0.00000
621,1.00000,0.00000
622,1.00000,0.00000
623,1.00000,0.00000
624,1.00000,0.00000
625,1.00000,0.00000
626,0.99111,0.00889
627,1.00000,0.00000
628,1.00000,0.00000
629,1.00000,0.00000
630,1.00000,0.00000
631,1.00000,0.00000
632,1.00000,0.00000
633,1.00000,0.00000
634,1.00000,0.00000
635,1.00000,0.00000
636,1.00000,0.00000
637,1.00000,0.00000
638,1.00000,0.00000
639,1.00000,0.00000
640,1.00000,0.00000
641,0.99111,0.00889
642,1.00000,0.00000
643,1.00000,0.00000
644,0.30218,0.69782
645,1.00000,0.00000
646,0.98228,0.01772
647,0.51496,0.48504
648,1.00000,0.00000
649,1.00000,0.00000
650,0.91193,0.08807
651,1.00000,0.00000
652,1.00000,0.00000
653,0.99980,0.00020
654,0.96959,0.03041
655,1.00000,0.00000
656,1.00000,0.00000
657,1.00000,0.00000
658,0.91415,0.08585
659,0.91415,0.08585
660,1.00000,0.00000
661,1.00000,0.00000
662,1.00000,0.00000
663,1.00000,0.00000
664,1.00000,0.00000
665,0.99919,0.00081
666,1.00000,0.00000
